Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep 134 | lr 1.8e-04 | train 0.4401 acc 0.872 | test 1.5197 acc 0.6487
  Ep 135 | lr 1.8e-04 | train 0.4390 acc 0.874 | test 1.4989 acc 0.6525
  Ep 136 | lr 1.8e-04 | train 0.4296 acc 0.876 | test 1.4938 acc 0.6530
  Ep 137 | lr 1.8e-04 | train 0.4293 acc 0.874 | test 1.4775 acc 0.6523
  Ep 138 | lr 1.8e-04 | train 0.4218 acc 0.879 | test 1.5014 acc 0.6511
  Ep 139 | lr 1.8e-04 | train 0.4135 acc 0.881 | test 1.4964 acc 0.6534
  Ep 140 | lr 1.7e-04 | train 0.4207 acc 0.878 | test 1.5100 acc 0.6494
  Ep 141 | lr 1.7e-04 | train 0.4183 acc 0.878 | test 1.4712 acc 0.6593 ★
  Ep 142 | lr 1.7e-04 | train 0.4176 acc 0.878 | test 1.5219 acc 0.6558
  Ep 143 | lr 1.7e-04 | train 0.4003 acc 0.885 | test 1.5143 acc 0.6528
  Ep 144 | lr 1.7e-04 | train 0.4011 acc 0.883 | test 1.5088 acc 0.6525
  Ep 145 | lr 1.7e-04 | train 0.4067 acc 0.883 | test 1.4828 acc 0.6587
  Ep 146 | lr 1.6e-04 | train 0.3978 acc 0.887 | test 1.5035 acc 0.6553
  Ep 147 | lr 1.6e-04 | train 0.4026 acc 0.883 | test 1.5414 acc 0.6475
  Ep 148 | lr 1.6e-04 | train 0.3854 acc 0.889 | test 1.5251 acc 0.6508
  Ep 149 | lr 1.6e-04 | train 0.3968 acc 0.886 | test 1.5111 acc 0.6523
  Ep 150 | lr 1.6e-04 | train 0.3860 acc 0.887 | test 1.4968 acc 0.6573
  Ep 151 | lr 1.6e-04 | train 0.3803 acc 0.892 | test 1.5072 acc 0.6486
  Ep 152 | lr 1.5e-04 | train 0.3808 acc 0.889 | test 1.5199 acc 0.6522
  Ep 153 | lr 1.5e-04 | train 0.3740 acc 0.892 | test 1.5079 acc 0.6563
  Ep 154 | lr 1.5e-04 | train 0.3717 acc 0.894 | test 1.5044 acc 0.6599 ★
  Ep 155 | lr 1.5e-04 | train 0.3701 acc 0.893 | test 1.5023 acc 0.6587
  Ep 156 | lr 1.5e-04 | train 0.3715 acc 0.892 | test 1.5005 acc 0.6602 ★
  Ep 157 | lr 1.5e-04 | train 0.3659 acc 0.895 | test 1.5406 acc 0.6476
  Ep 158 | lr 1.5e-04 | train 0.3554 acc 0.897 | test 1.5009 acc 0.6613 ★
  Ep 159 | lr 1.4e-04 | train 0.3570 acc 0.897 | test 1.5407 acc 0.6551
  Ep 160 | lr 1.4e-04 | train 0.3531 acc 0.899 | test 1.5215 acc 0.6566
  Ep 161 | lr 1.4e-04 | train 0.3433 acc 0.902 | test 1.5166 acc 0.6562
  Ep 162 | lr 1.4e-04 | train 0.3535 acc 0.899 | test 1.5236 acc 0.6565
  Ep 163 | lr 1.4e-04 | train 0.3462 acc 0.899 | test 1.5145 acc 0.6606
  Ep 164 | lr 1.4e-04 | train 0.3457 acc 0.900 | test 1.4945 acc 0.6630 ★
  Ep 165 | lr 1.3e-04 | train 0.3383 acc 0.902 | test 1.5223 acc 0.6567
  Ep 166 | lr 1.3e-04 | train 0.3374 acc 0.903 | test 1.5133 acc 0.6572
  Ep 167 | lr 1.3e-04 | train 0.3318 acc 0.905 | test 1.5144 acc 0.6645 ★
  Ep 168 | lr 1.3e-04 | train 0.3248 acc 0.905 | test 1.5490 acc 0.6547
  Ep 169 | lr 1.3e-04 | train 0.3300 acc 0.905 | test 1.5156 acc 0.6580
  Ep 170 | lr 1.3e-04 | train 0.3209 acc 0.908 | test 1.5077 acc 0.6653 ★
  Ep 171 | lr 1.2e-04 | train 0.3163 acc 0.908 | test 1.5146 acc 0.6634
